Date,day,camping0T1,camping0T2,camping0T3,camping0T2P,camping1T1,camping1T2,camping1T3,camping1T2P,camping2T1,camping2T2,camping2T3,camping2T2P,camping3T1,camping3T2,camping3T3,camping3T2P,camping4T1,camping4T2,camping4T3,camping4T2P,camping5T1,camping5T2,camping5T3,camping5T2P,camping6T1,camping6T2,camping6T3,camping6T2P,camping7T1,camping7T2,camping7T3,camping7T2P,camping8T1,camping8T2,camping8T3,camping8T2P,entrance0T1,entrance0T2,entrance0T3,entrance0T4,entrance0T5,entrance0T6,entrance1T1,entrance1T2,entrance1T3,entrance1T4,entrance1T5,entrance1T6,entrance2T1,entrance2T2,entrance2T3,entrance2T4,entrance2T5,entrance2T6,entrance3T1,entrance3T2,entrance3T3,entrance3T4,entrance3T5,entrance3T6,entrance4T1,entrance4T2,entrance4T3,entrance4T4,entrance4T5,entrance4T6,gate0T2P,gate1T2P,gate2T2P,gate3T4,gate3T2P,gate4T2P,gate5T4,gate5T2P,gate6T4,gate6T2P,gate7T2P,gate8T2P,general-gate0T1,general-gate0T2,general-gate0T3,general-gate0T2P,general-gate1T1,general-gate1T2,general-gate1T3,general-gate1T4,general-gate1T5,general-gate1T6,general-gate1T2P,general-gate2T1,general-gate2T2,general-gate2T3,general-gate2T4,general-gate2T5,general-gate2T6,general-gate2T2P,general-gate3T1,general-gate3T2,general-gate3T3,general-gate3T2P,general-gate4T1,general-gate4T2,general-gate4T3,general-gate4T4,general-gate4T5,general-gate4T6,general-gate4T2P,general-gate5T1,general-gate5T2,general-gate5T3,general-gate5T4,general-gate5T5,general-gate5T6,general-gate5T2P,general-gate6T1,general-gate6T2,general-gate6T3,general-gate6T2P,general-gate7T1,general-gate7T2,general-gate7T3,general-gate7T4,general-gate7T5,general-gate7T6,general-gate7T2P,ranger-baseT2P,ranger-stop0T1,ranger-stop0T2,ranger-stop0T3,ranger-stop0T4,ranger-stop0T5,ranger-stop0T6,ranger-stop0T2P,ranger-stop1T1,ranger-stop1T2P,ranger-stop2T1,ranger-stop2T2,ranger-stop2T3,ranger-stop2T4,ranger-stop2T5,ranger-stop2T6,ranger-stop2T2P,ranger-stop3T4,ranger-stop3T2P,ranger-stop4T2P,ranger-stop5T2P,ranger-stop6T4,ranger-stop6T2P,ranger-stop7T2P
2015-05-11,11,1,2,1,,,,,,1,2,,,1,2,2,,3,,,,2,,1,,,,,,,1,,,4,2,2,1,8,3,6,3,1,,7,1,4,2,1,,2,5,,2,,1,8,3,3,1,,,7,3,3,,,1,,,,,6,2,,6,,4,4,8,,,,,13,7,3,2,,,2,13,7,3,2,,,2,,1,,1,7,5,6,2,1,,2,7,3,3,,,,7,,1,,,10,7,8,2,1,,2,8,13,7,3,2,,,3,,,13,7,3,2,,,3,,6,2,2,,6,4
2015-05-12,12,1,1,1,,,,,,1,1,,,1,1,,,,,1,,1,3,1,,3,,2,,4,3,,,,2,1,2,4,2,2,,1,1,2,5,1,1,,1,5,6,4,4,,1,5,4,5,2,2,1,5,3,6,1,1,2,,,4,,4,6,,6,,4,4,8,,,,,9,8,9,3,1,3,4,9,8,9,3,1,3,6,,1,,2,6,4,4,1,,1,4,5,2,5,,1,2,8,4,3,,,6,8,4,1,,1,6,8,9,8,9,3,1,3,8,,4,9,8,9,3,1,3,6,,4,4,6,,8,4
2015-05-13,13,,2,,,,,,,2,,,,,,,,,1,1,,2,1,2,,1,7,,,1,2,,,2,2,,3,4,7,3,4,,,4,5,1,1,1,,7,6,1,4,2,1,5,10,4,2,,,4,4,2,1,1,1,,,2,,2,4,,4,,2,,6,,,,,11,13,3,5,1,,,11,13,3,5,1,,4,1,1,,2,7,3,2,1,1,,,5,11,2,1,,,4,1,2,,,8,8,4,1,1,,2,6,11,13,3,5,1,,4,,2,11,13,3,5,1,,2,,2,,4,,4,
2015-05-14,14,1,,,,,,,,1,1,1,,1,1,,,1,,,2,4,1,,,1,,,,1,2,,,1,2,1,,2,4,1,1,2,,7,3,5,1,2,,10,2,2,1,3,,6,3,5,,3,1,5,2,5,4,3,1,1,1,,,2,2,,5,,1,,6,,,,,12,6,6,2,5,1,3,12,6,6,2,5,1,3,1,,,,12,5,2,1,2,,2,5,2,4,3,2,1,3,1,2,,,15,6,4,1,2,,3,6,12,6,6,2,5,1,4,,,12,6,6,2,5,1,4,,2,2,2,,5,
2015-05-15,15,,,,,,,,,2,1,2,,1,2,,,3,,2,,,3,2,,1,,,,1,1,2,2,1,1,,2,5,5,4,,1,,4,6,6,3,1,,6,6,,,1,,8,4,3,2,2,,3,8,1,2,2,,,,6,,6,4,,8,,8,6,7,,,,,8,13,3,3,2,,4,8,13,3,3,2,,3,,,,2,5,10,4,2,,,4,3,7,3,2,2,,7,1,1,2,2,10,13,8,3,1,,8,7,8,13,3,3,2,,5,,6,8,13,3,3,2,,6,,6,4,4,,10,6
2015-05-16,16,4,1,,,,,,2,2,2,,2,1,1,2,,,3,,,2,2,,,,1,2,,6,1,2,,5,2,,,6,4,1,1,,,4,8,3,1,,3,5,9,2,2,,1,7,6,5,,,2,6,6,1,,,,,,,,2,,,1,,1,,5,,,,1,10,12,5,2,,1,3,10,12,5,2,,1,4,1,,,,6,6,2,1,,1,3,6,6,3,,,,6,6,1,2,,11,10,5,1,,3,4,5,10,12,5,2,,1,5,,,10,12,5,2,,1,4,,2,2,,,1,
2015-05-17,17,2,,,,,,,,,,1,2,,2,2,2,2,3,,,2,1,1,,1,,,,,2,,,4,1,1,,4,4,1,2,1,,2,5,3,4,1,,8,5,3,2,1,,4,6,2,,,,5,5,,,1,,1,1,,,,,,1,,1,2,6,,,,,12,11,4,2,2,,5,12,11,4,2,2,,5,1,,,,6,10,3,4,1,,4,3,7,,,1,,5,,2,,,8,11,5,4,1,,5,6,12,11,4,2,2,,7,,,12,11,4,2,2,,8,,,4,,,1,2
2015-05-18,18,,,,,,,,,2,2,1,,1,3,,,3,,2,,3,1,3,,4,,2,,2,,,,2,2,1,,5,6,1,2,2,1,2,9,3,,1,,6,1,1,1,2,,10,7,4,,2,,2,9,2,1,1,1,,,,,2,,,2,,2,2,2,,,,,8,8,4,2,3,1,,8,8,4,2,3,1,,,,,,5,8,3,,1,,,4,8,3,1,1,1,2,2,,,,11,12,6,,1,,,2,8,8,4,2,3,1,,,,8,8,4,2,3,1,,,2,,,,2,2
2015-05-19,19,1,2,,,,,,,1,,,,2,,1,,3,3,,,1,1,,,2,1,,2,,,,,2,,,2,3,7,2,4,1,,6,7,3,3,,,4,2,3,2,1,,6,5,2,3,2,,4,7,1,,,,1,1,2,,,,,1,,1,,4,,,,,6,9,4,2,1,,3,6,9,4,2,1,,3,,,,,5,9,4,1,,,2,4,6,1,,,,5,,,,,10,11,4,3,,,3,4,6,9,4,2,1,,4,,2,6,9,4,2,1,,5,,,2,,,1,
2015-05-20,20,1,1,2,,,,,,,,2,,2,,1,,4,2,,,4,1,1,,3,,,,1,,,2,1,1,,1,9,3,2,,1,1,2,4,4,,,2,3,3,3,1,,,7,4,4,1,,1,10,4,1,,1,,,,2,,2,4,,2,,2,2,4,,,,,14,5,4,1,1,,2,14,5,4,1,1,,4,,,,1,10,4,1,,,1,2,10,3,1,,1,,5,1,,,2,13,6,5,,,2,3,4,14,5,4,1,1,,5,,2,14,5,4,1,1,,3,,2,2,4,,3,2
2015-05-21,21,2,,,2,,,,,,,,,,1,,,,3,,,4,1,1,,3,,,,,,,,,2,2,2,10,3,2,1,,,3,5,1,1,,1,14,3,3,3,,,7,5,3,5,1,,7,5,1,,1,1,2,2,2,2,,2,2,5,2,5,,8,,,,,16,6,4,3,1,1,3,16,6,4,3,1,1,3,,1,1,1,8,4,1,,,1,3,6,5,1,2,1,1,2,,,,,9,5,2,1,,1,7,8,16,6,4,3,1,1,4,,2,16,6,4,3,1,1,5,2,,6,2,2,6,
2015-05-22,22,,1,,,,,,,2,1,,,2,1,,2,2,1,1,,6,1,,,3,,,,,,,,3,2,,4,7,2,1,,1,,9,1,3,,,,5,4,3,1,1,,7,4,,2,1,,4,6,1,1,1,,1,1,2,,2,2,,5,,5,2,6,,,,,11,8,2,2,2,,1,11,8,2,2,2,,3,,,,,9,5,2,,,,,3,5,,1,1,,5,,,,,15,6,2,,,,3,6,11,8,2,2,2,,3,,2,11,8,2,2,2,,3,,2,,2,,5,2
2015-05-23,23,,2,,,,,,,5,2,1,,4,4,,,,,4,,2,2,1,,1,,,2,,1,,,2,2,2,,6,8,3,1,,1,4,6,3,2,1,,4,5,2,1,,,7,5,1,2,1,1,7,4,3,,,,,,2,,2,2,,4,,4,4,6,,,,,10,7,5,1,,,2,10,7,5,1,,,2,,1,,,9,7,6,,,,2,5,4,3,,,,4,,1,,,13,11,7,2,1,,2,6,10,7,5,1,,,2,,2,10,7,5,1,,,4,,2,,2,,7,4
2015-05-24,24,,2,,,,,2,,1,,1,,5,2,,,1,4,1,,1,,1,,4,1,,,6,,1,,2,2,,1,4,3,4,2,1,,10,4,1,2,,,8,3,3,2,1,,6,3,2,2,1,,6,3,4,2,1,,,,,,2,2,,2,,,,6,,,2,,14,8,8,2,2,,4,14,8,8,2,2,,4,1,,,1,10,4,2,1,,,4,11,3,4,1,1,,5,6,,1,,12,6,3,2,,,4,6,14,8,8,2,2,,6,,,14,8,8,2,2,,6,,2,4,2,,2,
2015-05-25,25,1,1,,,,,,,1,,1,2,3,,,,,1,1,,3,4,,,,1,,,2,,,,2,1,,4,5,5,4,3,1,,7,4,2,3,1,,6,5,4,3,1,,10,4,,3,,,4,4,2,2,1,,1,1,4,,8,4,,7,,7,6,8,,,,,12,7,6,3,,,5,12,7,6,3,,,5,,,,2,8,6,4,2,1,,4,5,2,2,1,,,11,2,,,,13,9,4,3,1,,7,8,12,7,6,3,,,8,,4,12,7,6,3,,,7,,8,4,4,,9,6
2015-05-26,26,,,1,,,2,,,2,1,,,5,,1,,2,1,,,2,1,,4,3,1,,2,3,,,,1,1,,,8,3,3,2,1,,5,4,3,1,,,8,2,1,1,1,,6,5,2,1,,,7,1,3,1,,,1,1,4,,,2,,5,,7,2,6,,2,,,10,7,2,,1,,1,10,7,2,,1,,1,1,,,,9,2,1,1,,,,5,2,2,,,,1,3,,,,13,3,1,1,,,5,6,10,7,2,,1,,1,,4,10,7,2,,1,,2,,,,2,,7,2
2015-05-27,27,,,1,,,,,,,,1,6,3,,,,1,,1,2,1,2,,,2,1,2,,3,,,,3,2,,1,4,5,3,1,,,5,1,3,,,,6,6,5,,,,5,,4,,,,12,3,4,1,,,,,,,2,4,,7,,5,2,6,,,,,12,8,3,1,,,1,12,8,3,1,,,1,,,,1,9,3,3,,,,1,10,2,2,1,,,2,3,,,,10,3,4,,,,4,6,12,8,3,1,,,2,,,12,8,3,1,,,1,,2,,4,,7,2
2015-05-28,28,,,1,,,,,,3,,,,,1,,2,,,2,,2,1,,,7,,,,,2,1,,5,1,,1,6,3,4,3,,1,5,3,1,2,,1,13,3,1,2,,,9,4,4,2,2,,3,5,4,1,2,2,1,1,,,4,6,,9,,7,,8,,,,,14,5,4,3,2,2,3,14,5,4,3,2,2,3,2,,,1,5,3,3,2,,1,2,6,5,3,1,2,2,4,,2,1,,7,5,4,2,,1,9,8,14,5,4,3,2,2,4,,,14,5,4,3,2,2,4,,4,8,6,,10,
2015-05-29,29,1,1,,2,,,,,2,1,1,,,2,,,,1,,,2,,,,3,1,3,,,1,,,3,1,2,1,2,2,4,1,,,2,7,4,3,,,3,8,2,2,,,9,3,4,1,2,,5,5,2,3,1,,2,2,,,4,2,,8,,6,2,8,,,,,10,10,7,5,1,,,10,10,7,5,1,,,,,,1,4,7,5,3,,,,7,5,5,3,1,,3,,1,,,7,8,5,3,,,2,8,10,10,7,5,1,,,,,10,10,7,5,1,,,,4,2,2,,8,2
2015-05-30,30,1,1,,,,,,,4,1,2,2,,2,1,,3,2,3,,3,,2,,,,2,,,2,,,3,,,2,3,5,3,1,3,,2,6,4,3,2,,7,3,2,1,,,7,4,4,,,,3,4,3,1,,,1,1,,,4,4,,5,,1,,6,,,,,11,5,5,2,,,1,11,5,5,2,,,1,,,,2,7,6,7,3,2,,,3,3,4,1,,,3,,2,,,12,8,11,3,2,,1,6,11,5,5,2,,,1,,,11,5,5,2,,,2,,4,,4,,5,
2015-05-31,31,1,,1,,,,,,4,1,,,,,,2,,1,1,,1,,2,,2,1,1,,1,4,,,3,2,2,1,6,4,2,,4,2,8,2,,,3,1,4,7,1,1,2,1,7,5,5,1,3,,5,5,1,,,,1,1,2,,4,2,,3,,3,2,6,,,,,7,11,5,1,2,1,3,7,11,5,1,2,1,3,,,,1,8,4,1,,2,1,2,2,7,2,,,,6,1,4,,,13,4,4,,3,1,5,6,7,11,5,1,2,1,4,,2,7,11,5,1,2,1,5,,4,4,2,,4,2
2015-06-01,32,2,,,,,,,,3,3,,,3,6,5,,3,2,,,3,5,1,,3,4,5,,9,2,,,6,,1,1,11,4,2,4,1,,7,9,4,2,2,,10,8,,1,,1,13,10,5,1,,1,9,8,7,2,3,2,,,2,,4,2,,4,,4,4,4,,,,,21,17,7,3,3,1,2,21,17,7,3,3,1,2,1,,,1,10,17,7,2,2,,2,16,11,6,2,3,1,5,9,2,,,18,25,10,2,2,,3,4,21,17,7,3,3,1,3,,2,21,17,7,3,3,1,3,,4,2,2,,5,4
2015-06-02,33,2,3,2,,2,,,,6,3,,,6,3,,,4,3,1,,4,5,4,,8,4,4,,4,,1,,3,4,5,3,9,4,7,2,,,9,7,6,2,1,,12,10,5,2,2,,11,5,7,3,,,12,4,9,1,1,,,,,2,6,8,2,6,2,,,8,1,,,,19,13,17,3,1,,,19,13,17,3,1,,,,1,,3,14,13,10,1,1,,,9,4,12,3,,,3,4,,1,,20,17,12,2,1,,,8,19,13,17,3,1,,,,,19,13,17,3,1,,,2,6,,8,2,6,
2015-06-03,34,3,2,2,,,2,,,5,2,,,4,2,5,,8,4,1,,8,4,2,,3,2,3,,5,,,,10,3,2,1,8,12,7,1,1,,12,8,5,2,4,,9,3,4,1,4,1,19,8,10,2,1,,14,6,6,2,2,1,,,,,2,2,,,,,,4,,2,,,27,10,12,1,4,,2,27,10,12,1,4,,2,2,,1,1,23,11,6,,3,,2,18,5,8,1,1,,3,5,,,,34,17,12,2,4,,2,4,27,10,12,1,4,,3,,,27,10,12,1,4,,3,,2,2,2,,,
2015-06-04,35,3,1,4,,2,,,,10,3,1,,4,4,3,,10,4,,,3,2,3,,7,,2,,8,6,6,,6,7,2,1,11,7,6,1,1,,14,13,2,4,2,3,10,5,7,2,4,1,22,4,12,1,2,3,12,8,2,2,1,1,,,,,4,2,,6,,4,2,6,2,,,,31,16,15,2,3,2,,31,16,15,2,3,2,,,,,1,18,13,7,3,1,1,,19,9,8,1,,1,3,8,6,6,,26,16,11,4,2,3,2,6,31,16,15,2,3,2,,,,31,16,15,2,3,2,,,4,2,2,,6,2
2015-06-05,36,6,2,2,,2,,,,2,3,1,,5,4,3,,8,4,,,11,3,9,,9,9,1,,6,2,4,,5,6,3,3,20,11,8,1,1,1,8,7,7,2,,4,15,8,10,1,,2,19,12,7,1,1,1,10,15,7,1,,,,,6,,6,6,,6,,6,6,6,1,,,,23,20,11,2,,2,6,23,20,11,2,,2,6,,,2,3,17,15,11,1,,3,6,13,16,5,1,,,9,6,2,4,,31,21,17,2,,4,9,6,23,20,11,2,,2,9,,6,23,20,11,2,,2,9,,6,6,6,,9,6
2015-06-06,37,3,2,1,,,1,2,,9,4,4,,10,7,2,,4,7,1,,8,7,2,,5,9,2,,8,2,3,,8,6,1,3,11,5,3,2,,1,13,7,4,1,1,1,19,16,4,1,1,,16,21,6,2,,,19,15,7,2,,,,,,,6,6,,6,,,,6,,1,1,,27,40,11,1,1,,,27,40,11,1,1,,,2,,,3,21,24,7,,1,1,,17,20,8,1,,,3,8,2,3,,32,31,10,1,1,1,,6,27,40,11,1,1,,,,,27,40,11,1,1,,,,6,,6,,6,
2015-06-07,38,6,1,,,,,,,5,9,1,,4,4,3,,8,5,4,,12,13,3,4,6,1,,,7,2,4,2,8,2,,1,16,7,7,2,1,,13,13,3,3,1,,11,9,4,2,2,1,16,13,9,1,3,1,17,10,4,,3,,,,,,4,4,,8,,4,2,8,,,,,35,15,8,2,5,1,,35,15,8,2,5,1,,,1,,1,28,15,8,2,1,,,19,8,5,,3,,3,7,2,4,2,38,29,14,3,1,,2,8,35,15,8,2,5,1,,,,35,15,8,2,5,1,,,4,,4,,8,2
2015-06-08,39,6,4,1,,,,2,,5,2,1,,9,2,4,,11,3,4,,7,4,1,,10,3,2,,7,1,2,,5,3,1,,20,8,4,4,1,2,18,7,5,1,2,2,13,8,6,3,,2,19,19,5,4,1,,14,4,6,1,1,,1,1,4,,,,,3,,3,,4,,,1,,33,11,9,4,,2,1,33,11,9,4,,2,1,2,,,,29,8,9,1,1,2,,22,6,5,1,,,1,7,1,2,,41,21,12,1,2,2,3,4,33,11,9,4,,2,1,,4,33,11,9,4,,2,2,,,,,,3,
2015-06-09,40,5,1,,,,,,,3,4,2,,7,3,1,,5,6,2,,7,7,2,,11,2,4,,6,1,3,,5,1,,1,13,7,6,,2,,9,7,4,2,2,,13,11,7,3,2,,17,11,5,,1,1,15,7,4,1,2,1,,,2,,2,2,,2,,1,,1,,,,,28,18,10,3,1,1,1,28,18,10,4,1,1,1,1,,,1,15,18,5,2,1,,1,18,8,5,1,1,1,2,6,1,3,,25,26,8,2,2,,3,1,28,18,10,3,1,1,2,,2,28,18,10,3,1,1,1,,2,2,2,,2,
2015-06-10,41,3,1,,,1,,,2,5,7,1,,8,7,3,,10,2,1,2,5,6,3,,6,7,4,2,3,1,4,,8,3,1,3,16,9,3,2,,,14,11,6,2,,1,14,10,8,3,1,,21,12,4,2,,1,10,12,6,6,1,2,,,4,,6,2,,6,,7,6,9,1,,,,34,27,9,4,,2,3,34,27,9,3,,2,3,1,,,1,28,20,10,2,,1,3,15,14,6,3,,2,8,3,1,4,,39,27,12,2,,1,5,9,34,27,9,4,,2,4,,4,34,27,9,4,,2,5,,6,2,2,,8,6
2015-06-11,42,5,,1,,1,,,,8,4,4,,7,1,4,,14,2,2,,5,5,1,,4,4,,,5,1,3,,7,8,2,1,20,9,6,,,,7,7,4,,1,,16,3,8,1,,,20,12,6,,1,,15,4,7,1,2,,,,2,,2,2,,2,,2,2,2,1,,,,34,16,14,,2,,2,34,16,14,,2,,2,1,,1,1,27,7,10,,1,,2,15,7,8,,2,,3,5,1,3,,41,14,12,,1,,3,2,34,16,14,,2,,3,,2,34,16,14,,2,,3,,2,2,2,,3,2
2015-06-12,43,7,2,,,,1,,,9,6,3,,7,6,5,,9,6,1,,8,2,4,,15,2,,,4,2,1,,10,3,7,1,24,7,10,1,,,11,10,4,,1,1,13,11,4,,1,2,27,11,6,,,1,18,13,3,1,2,2,,,2,,4,2,,4,,4,4,6,,1,,,36,22,11,1,1,2,4,36,22,11,1,1,2,4,1,2,,1,23,20,13,,1,1,4,22,14,2,1,1,1,7,4,2,1,,39,24,15,,1,1,5,6,36,22,11,1,1,2,6,,2,36,22,11,1,1,2,6,,4,4,2,,5,4
2015-06-13,44,2,1,2,,4,,,,8,3,3,,9,4,3,2,10,3,5,,12,6,4,,11,8,2,,5,8,3,,9,7,2,1,17,3,6,1,2,2,11,14,7,,2,1,17,10,7,,1,,22,8,7,2,,1,17,11,9,1,1,2,1,1,,,2,2,,1,,1,,2,1,,,,35,20,15,1,2,2,1,35,20,15,1,2,2,1,3,2,1,1,31,14,9,,2,1,,23,16,8,1,1,2,,5,8,3,,44,21,14,,2,1,1,2,35,20,15,1,2,2,1,,,35,20,15,1,2,2,1,,2,,2,,1,
2015-06-14,45,4,2,,,2,,,,6,3,3,,7,6,4,,8,2,4,2,8,4,5,,6,9,2,,12,5,3,,17,3,1,1,17,5,7,1,1,2,9,8,4,1,,3,19,12,6,1,,2,20,10,6,,1,2,16,7,5,1,2,1,,,,,4,2,,6,,4,2,6,2,,,,39,26,13,,2,1,,39,26,13,,2,1,,3,,1,1,27,18,13,1,,2,,26,13,9,,2,,3,12,5,3,,38,21,18,1,,3,2,6,39,26,13,,2,1,,,,39,26,13,,2,1,,,4,,2,,6,2
